table_name,category,type,table_business_key,view_logical_key,current_sources,source_priority,grain,status,notes
heart_rate,Vitals,multi_source,timestamp|source_name,timestamp,oura|apple_health,oura>apple_health,Per reading,active,1.3M rows
resting_heart_rate,Vitals,single_source,date,date,apple_health,apple_health,Daily,active,Apple restingheartrate
hrv,Vitals,multi_source,timestamp|source_name,timestamp,apple_health|oura,oura>apple_health,Per reading,active,heartratevariabilitysdnn
blood_pressure_v2,Vitals,multi_source,datetime|source_name,datetime,withings|apple_health,withings>apple_health,Per reading,active,Apple+Withings unified. PR #109
blood_oxygen,Vitals,single_source,day,day,oura,oura,Per reading,active_empty,daily_spo2 has daily data
body_temperature,Vitals,multi_source,timestamp|source_name,timestamp,apple_health|withings|oura,withings>apple_health>oura,Per reading,active,167 rows
respiratory_rate,Vitals,single_source,timestamp,timestamp,apple_health,apple_health,Per reading,active,
vo2_max,Vitals,multi_source,date|source_name,date,apple_health|oura,oura>apple_health,Per reading,active,Apple 454 rows
hr_recovery,Vitals,single_source,datetime,datetime,apple_health,apple_health,Per workout end,active,heartraterecoveryoneminute (98 rows)
cardiovascular_age,Vitals,single_source,date,date,oura_csv,oura_csv,Daily,active,dailycardiovascularage (691 rows)
pulse_wave_velocity,Vitals,single_source,date,date,withings,withings,Per reading,active,Arteriel stivhed. PR #109
ecg_session,Vitals,single_source,date,date,withings,withings,Per session,active,Metadata only. PR #109
daily_spo2,Vitals,single_source,day,day,oura,oura,Daily,active,91 rows
blood_pressure,Vitals,single_source,datetime,datetime,withings,withings,Per reading,legacy,Withings-only — see blood_pressure_v2
oura_heart_rate,Vitals,single_source,timestamp,timestamp,oura,oura,Per reading,legacy,Oura-specific subset of heart_rate
body_measurement,Body,multi_source,datetime|source_name,datetime,withings|apple_health,withings>apple_health,Per measurement,active,Unified: weight fat bone muscle hydration BMI
weight,Body,multi_source,datetime|source_name,datetime,withings|apple_health|lifesum,withings>apple_health>lifesum,Per measurement,legacy,Subset of body_measurement
body_fat,Body,single_source,date,date,lifesum,lifesum,Per measurement,active,Lifesum bodyfat
body_measures,Body,single_source,date|measure_type,date|measure_type,lifesum,lifesum,Per measurement,planned,Waist chest etc. (bodymeasures.csv)
daily_sleep,Sleep,single_source,id|day,id|day,oura,oura,Daily,active,Oura scores + 7 contributors
sleep_session,Sleep,multi_source,bedtime_start|source_name,bedtime_start,oura|withings,oura>withings,Per night session,active,Unified: duration stages HR HRV efficiency snoring
